meanB,meanG,meanR,modeB,modeG,modeR,batch,concentration,image,predicted_concentration
85.96392757371963,88.0826716306776,77.25728464730291,86.91153647180549,88.79374534623977,77.80082987551867,batch2,30.0,30.0-1_batch2.csv,27.12288400899797
90.53445257654968,91.58358411552345,93.13319209486166,89.61911874533234,91.90304280556988,93.2806324110672,batch2,50.0,50.0-3_batch2.csv,46.678283126669385
91.12742621599341,93.71254640980736,86.39848698035634,92.3330585325639,93.6952714535902,86.34079488350845,batch2,50.0,50.0-1_batch2.csv,51.665371851300904
84.37547152619591,84.55458888277381,73.77044382247101,87.31966590736523,87.50687947165659,75.56977209116353,batch2,8.0,8.0-1_batch2.csv,10.730935073648197
92.62491998614482,89.35485625139293,104.06323487312946,93.52268791132664,90.26075328727435,105.40013012361744,batch1,50.0,50.0-2_batch1.csv,40.59494092412331
93.86077257465983,81.74833999322722,102.11968367691789,94.36296165400246,84.32102946156452,105.44102737411286,batch1,0.5,0.5-4_batch1.csv,3.3003636872844027
89.03801914823373,79.97253374099148,98.50249836494442,90.12875536480686,82.55077527844507,100.06540222367562,batch1,10.0,10.0-4_batch1.csv,1.4049043443876599
86.00258316575696,81.70742421200563,81.44825997045791,87.0439528871014,83.11584019273238,82.7178729689808,batch2,2.5,2.5-3_batch2.csv,1.8886419577371498
92.52174250563161,81.69939761453574,99.54645131878867,92.53162363541848,84.2715416341545,97.6880494952784,batch1,10.0,10.0-5_batch1.csv,9.913017230236676
94.89169874476987,83.26037779767235,101.45721739130435,97.28033472803348,86.61593554162937,104.74308300395258,batch1,8.0,8.0-3_batch1.csv,8.685534075185103
89.9817432105787,91.03072647317501,84.53209877682897,90.43082610550265,91.4687774846086,83.0833141010847,batch3,50.0,50.0-3_batch3.csv,42.20294841147876
85.19211579609818,87.96192681353119,75.38621620529398,87.60226557583385,89.59351092266569,73.95433420893109,batch2,30.0,30.0-5_batch2.csv,29.401300225207876
87.58622260569456,81.46087447781976,84.0072473444613,89.73252804141501,81.46011537696438,84.21851289833081,batch3,1.0,1.0-2_batch3.csv,2.3832199178422115
86.9933720830351,87.67196811446091,86.64499150579151,88.47530422333573,89.21819110884006,88.03088803088804,batch2,30.0,30.0-3_batch2.csv,29.04996313583524
91.2764114946438,81.30134110525728,99.69928897715987,93.86158816527802,83.73500728617869,103.27706057596822,batch1,5.0,5.0-5_batch1.csv,2.9221636000739295
87.22505621513376,84.13682256596907,79.63551382756216,89.25761693606066,85.53230209281165,81.57099697885195,batch2,10.0,10.0-1_batch2.csv,9.009639028081665
86.40142978723404,82.51996051332677,80.69129078014186,85.1063829787234,82.6258637709773,80.85106382978724,batch3,8.0,8.0-2_batch3.csv,5.288191125576134
83.54482120194102,84.18793536156,72.57188463802238,83.61328854050019,84.49941319851945,72.98410829899942,batch3,15.0,15.0-2_batch3.csv,10.437198294998552
88.61722075910149,81.05747533117764,93.73949514563105,91.0921766072812,83.55064149368937,96.20476610767872,batch1,2.0,2.0-1_batch1.csv,2.6219060076064693
86.2935079707023,81.81980849141824,81.37612601525966,87.03145196036192,84.01084010840108,82.69751415210435,batch2,2.5,2.5-5_batch2.csv,1.876061195483942
91.10865979381444,88.80126976744187,82.84048073394496,91.06529209621992,88.95348837209302,83.25688073394495,batch3,30.0,30.0-4_batch3.csv,27.881145457637103
85.94079954115286,83.21502556875377,81.17853827636014,86.03383997705765,85.16206965975438,82.3302840635532,batch3,5.0,5.0-4_batch3.csv,8.067568405714667
93.41503339744712,86.89456695188356,103.37131873161164,95.47123623011016,89.00988998777643,105.91696632886564,batch1,25.0,25.0-2_batch1.csv,27.64307488905905
88.2498255781555,86.53800117901356,82.14830855539974,92.78350515463916,87.5417567302024,81.34642356241234,batch2,25.0,25.0-4_batch2.csv,23.899033027039195
85.82196853682306,82.74655714715016,83.54435551092142,86.03647501044132,82.94099969948914,85.11172483052975,batch3,2.0,2.0-4_batch3.csv,7.089994517410219
83.68299672296445,83.05278361075545,72.19387842669845,83.94252583816485,83.95829522590086,71.51370679380214,batch2,2.5,2.5-1_batch2.csv,6.836414367408679
93.83427906976745,83.58507925801013,95.6951519434629,95.93023255813952,85.37099494097808,98.0565371024735,batch1,8.0,8.0-1_batch1.csv,8.804470109045269
91.6339863098942,85.51352960526316,91.63832414553472,94.2750466708152,86.9654605263158,93.4399117971334,batch1,20.0,20.0-1_batch1.csv,17.712728184147693
